id,Keyword,Name,Full_Address,Street_Address,City,Zip,Municipality,State,Country,Timezone,Phone_1,Phone_Standard_format,Phone_From_WEBSITE,Email_From_WEBSITE,Website,Domain,First_category,Second_category,Claimed_google_my_business,Reviews_count,Average_rating,Business_Status,Hours,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Latitude,Longitude,Coordinates,Plus_Code,Place_ID,Menu_Link,GMB_URL,CID,Google_Knowledge_URL,Kgmid,Image_URL,Favicon,Review_URL,Facebook_URL,Linkedin_URL,Instagram_URL,Meta_Description,Meta_Keywords,Uuid,Accessibility,Service_options,Amenities,From_the_business,Crowd,Planning
d3258798-0164-4663-b79e-6b5947b61558,photographer,Ramina Magid,,,,,,,,,(310) 715-9922,(310) 715-9922,,,http://www.raminamagid.com/,raminamagid.com,,,,111,5.0,,,,,,,,,,34.058941,-118.3833332,"34.058941,-118.3833332",,0x80c2bb9c602867a7:0xd165c2da50dd2ae2,,https://www.google.com/maps/place/Ramina+Magid/data=!4m7!3m6!1s0x80c2bb9c602867a7:0xd165c2da50dd2ae2!8m2!3d34.058941!4d-118.3833332!16s%2Fg%2F11dzx17by_!19sChIJp2coYJy7woAR4irdUNrCZdE?authuser=0&hl=en&rclk=1,,,,,,,,,,,,725dd458-4745-48b5-83be-c67e109dfc3e,,,,,,
45c4538b-441d-4281-b1a2-3f39ff30dc0c,photographer,The Luxury Level,,,,,,,,,,,,,http://www.luxlvl.com/,luxlvl.com,,,,69,5.0,,,,,,,,,,34.0625407,-118.3993145,"34.0625407,-118.3993145",,0x80c2c75452bd8481:0xc77750e62c56003a,,https://www.google.com/maps/place/The+Luxury+Level/data=!4m7!3m6!1s0x80c2c75452bd8481:0xc77750e62c56003a!8m2!3d34.0625407!4d-118.3993145!16s%2Fg%2F11f0wrs9_9!19sChIJgYS9UlTHwoAROgBWLOZQd8c?authuser=0&hl=en&rclk=1,,,,,,,,,,,,de65e13d-7a16-4f61-9ea7-53ecc5b7b8d9,,,,,,
f9013bc3-6360-4021-9745-9546540f814c,photographer,Sheryda Photos,,,,,,,,,(310) 270-7819,(310) 270-7819,,,https://www.sherydaphotos.com/,sherydaphotos.com,,,,15,5.0,,,,,,,,,,34.0727919,-118.3918006,"34.0727919,-118.3918006",,0x80c2bf643814110f:0xab3e375f2441e920,,https://www.google.com/maps/place/Sheryda+Photos/data=!4m7!3m6!1s0x80c2bf643814110f:0xab3e375f2441e920!8m2!3d34.0727919!4d-118.3918006!16s%2Fg%2F11sntp6wzy!19sChIJDxEUOGS_woARIOlBJF83Pqs?authuser=0&hl=en&rclk=1,,,,,,,,,,,,cb7d53f8-3710-47f5-9685-8e16ddd57eed,,,,,,
c59da4e7-39c9-4859-9486-2d2720fe7a32,photographer,John Solano Photography,,,,,,,,,(310) 205-0976,(310) 205-0976,,,https://www.nikonusa.com/en/learn-and-explore/a/ideas-and-inspiration/reaction-time.html,nikonusa.com,,,,70,5.0,,,,,,,,,,34.0659297,-118.4058091,"34.0659297,-118.4058091",,0x80c2bbf79e679863:0x34e4dedadcc42c9d,,https://www.google.com/maps/place/John+Solano+Photography/data=!4m7!3m6!1s0x80c2bbf79e679863:0x34e4dedadcc42c9d!8m2!3d34.0659297!4d-118.4058091!16s%2Fg%2F11bbrjhfz8!19sChIJY5hnnve7woARnSzE3Nre5DQ?authuser=0&hl=en&rclk=1,,,,,,,,,,,,340ef8bc-ce15-4c99-9017-dc04b9d71c0b,,,,,,
2696bc47-fb18-4c3f-a424-9d3fc0db405c,photographer,"Christopher C. Lee, Photography, Videography, and Cinematography",,,,,,,,,(415) 289-9644,(415) 289-9644,,,https://www.chrisclee.com/,chrisclee.com,,,,14,5.0,Open 24 hours,,,,,,,,,34.0839516,-118.3825383,"34.0839516,-118.3825383",,0x8085817d594f763d:0xa9a3a23c85cd0c0d,,"https://www.google.com/maps/place/Christopher+C.+Lee,+Photography,+Videography,+and+Cinematography/data=!4m7!3m6!1s0x8085817d594f763d:0xa9a3a23c85cd0c0d!8m2!3d34.0839516!4d-118.3825383!16s%2Fg%2F11ssfgxvlw!19sChIJPXZPWX2BhYARDQzNhTyio6k?authuser=0&hl=en&rclk=1",,,,,,,,,,,,165ea843-5cdc-432e-99e9-10c04dd95596,,,,,,
c28beaf6-bade-48cc-8c9c-517347d357e8,photographer,Hindy Photography,,,,,,,,,(917) 601-3083,(917) 601-3083,,,https://www.hindyleitnerphotography.com/,hindyleitnerphotography.com,,,,23,5.0,,,,,,,,,,34.0776404,-118.3826343,"34.0776404,-118.3826343",,0x80c2b9caafe66443:0x10c234bd742476fd,,https://www.google.com/maps/place/Hindy+Photography/data=!4m7!3m6!1s0x80c2b9caafe66443:0x10c234bd742476fd!8m2!3d34.0776404!4d-118.3826343!16s%2Fg%2F11smb4gywy!19sChIJQ2Tmr8q5woAR_XYkdL00whA?authuser=0&hl=en&rclk=1,,,,,,,,,,,,3f3d8115-0dde-4bf0-b3f0-b4ace3ddf36f,,,,,,
dd08b23b-b73b-41dc-8cc4-31122cb0558c,photographer,Camera Creations Photography,490 S San Vicente Blvd # 7,490 S San Vicente Blvd # 7,,,,,,,(323) 466-3909,(323) 466-3909,,,https://cameracreations.net/,cameracreations.net,Portrait studio,,,40,5.0,,,,,,,,,,34.0689402,-118.374517,"34.0689402,-118.374517",,0x80c2b94926069c07:0x89cf771f44d43562,,https://www.google.com/maps/place/Camera+Creations+Photography/data=!4m7!3m6!1s0x80c2b94926069c07:0x89cf771f44d43562!8m2!3d34.0689402!4d-118.374517!16s%2Fg%2F1tywy6g4!19sChIJB5wGJkm5woARYjXURB93z4k?authuser=0&hl=en&rclk=1,,,,,,,,,,,,9ab48387-a27b-460d-9d66-bef4513c4eec,,,,,,
7cac5e5e-31dc-41fb-84ba-bf7701800496,photographer,Visual Open House,,,,,,,,,(323) 365-6109,(323) 365-6109,,,http://www.visualopenhouse.com/,visualopenhouse.com,,,,43,5.0,,,,,,,,,,34.0731378,-118.3941371,"34.0731378,-118.3941371",,0x80c2ccc89aa2bfc5:0xfc4d5d98a1ecfb6a,,https://www.google.com/maps/place/Visual+Open+House/data=!4m7!3m6!1s0x80c2ccc89aa2bfc5:0xfc4d5d98a1ecfb6a!8m2!3d34.0731378!4d-118.3941371!16s%2Fg%2F11clyqplpk!19sChIJxb-imsjMwoARavvsoZhdTfw?authuser=0&hl=en&rclk=1,,,,,,,,,,,,7f47a449-77c0-482d-bc68-ee29021c2024,,,,,,
d84fa888-02b4-4744-a345-6cf878b81f67,photographer,Estarr Vilson Photography,,,,,,,,,(770) 330-8588,(770) 330-8588,,,https://www.estarrvilson.com/,estarrvilson.com,,,,11,5.0,,,,,,,,,,34.0688088,-118.4044895,"34.0688088,-118.4044895",,0x80c2bd3e0a73dcbf:0xf43020de9d9cba9c,,https://www.google.com/maps/place/Estarr+Vilson+Photography/data=!4m7!3m6!1s0x80c2bd3e0a73dcbf:0xf43020de9d9cba9c!8m2!3d34.0688088!4d-118.4044895!16s%2Fg%2F11y5bnl_7m!19sChIJv9xzCj69woARnLqcnd4gMPQ?authuser=0&hl=en&rclk=1,,,,,,,,,,,,279711d9-e39c-4492-9046-4a09070b5ccb,,,,,,
cd6bcf10-8ea4-4412-a609-2331d09cfbd8,photographer,BH STUDIO,,,,,,,,,(415) 758-1194,(415) 758-1194,,,https://www.bhstudiola.com/,bhstudiola.com,,,,67,5.0,,,,,,,,,,34.0637479,-118.3987578,"34.0637479,-118.3987578",,0x80c2b969a40902ef:0x8bf91c9d288dcc7a,,https://www.google.com/maps/place/BH+STUDIO/data=!4m7!3m6!1s0x80c2b969a40902ef:0x8bf91c9d288dcc7a!8m2!3d34.0637479!4d-118.3987578!16s%2Fg%2F11hbnsr24r!19sChIJ7wIJpGm5woAResyNKJ0c-Ys?authuser=0&hl=en&rclk=1,,,,,,,,,,,,16a12a5c-aaac-41fd-bf56-dce22bd523a3,,,,,,
